,Name_of_car,Model_Date,Engine,Location,Viwe,Price_Rs,Link,Emi_Starts_At :,Car_ID,KmS_Driven,Fuel_Type,Owner,Transmission,RTO
36,Honda City ZX,2007, Petrol,New Delhi,210.0,147900.0,https://www.cars24.com//buy-used-Honda-City-ZX-2007-cars-New-Delhi-1006693086/,2878.0,2210307558,"54,317",Petrol,First,Manual,DL3C
37,Honda City ZX,2008, Petrol,New Delhi,150.0,170100.0,https://www.cars24.com//buy-used-Honda-City-ZX-2008-cars-New-Delhi-1006962189/,3310.0,2210209465,"54,534",Petrol,Second,Manual,DL3C
38,Honda Amaze,2017, Petrol + CNG,Gurgaon,190.0,472300.0,https://www.cars24.com//buy-used-Honda-Amaze-2017-cars-Gurgaon-1007623686/,9189.0,220991416,"55,915",Petrol + CNG,First,Manual,DL10
39,Honda City ZX,2006, Petrol,New Delhi,110.00000000000001,103300.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-New-Delhi-1007952189/,2010.0,2210276299,"115,350",Petrol,Second,Manual,DL3C
40,Honda City,2016, Petrol,Noida,170.0,742800.0,https://www.cars24.com//buy-used-Honda-City-2016-cars-Noida-1008942189/,14451.0,2210172446,"14,048",Petrol,First,Manual,Up16
41,Honda City ZX,2008, Petrol,New Delhi,710.0,200900.0,https://www.cars24.com//buy-used-Honda-City-ZX-2008-cars-New-Delhi-1009351857/,3909.0,21681141,"27,954",Petrol,First,Manual,DL4C
42,Honda City,2009, Petrol,Noida,229.99999999999997,238700.0,https://www.cars24.com//buy-used-Honda-City-2009-cars-Noida-1000643686/,4644.0,2210096356,"52,497",Petrol,First,Manual,DL4C
43,Honda City ZX,2006, Petrol + CNG,New Delhi,550.0,79000.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-New-Delhi-1000922789/,null,220997227,"133,017",Petrol + CNG,Second,Manual,DL3C
44,Honda Civic,2008, Petrol,Noida,270.0,206600.0,https://www.cars24.com//buy-used-Honda-Civic-2008-cars-Noida-1001902189/,4020.0,2209890340,"23,087",Petrol,First,Manual,DL4C
45,Honda City ZX,2006, Petrol,Noida,120.0,122900.0,https://www.cars24.com//buy-used-Honda-City-ZX-2006-cars-Noida-1001922189/,2391.0,221022018,"80,231",Petrol,Second,Manual,DL4C
